   ------------------------------------------------------------------
  | Welcome to ROOT 6.22/08                        https://root.cern |
  | (c) 1995-2020, The ROOT Team; conception: R. Brun, F. Rademakers |
  | Built for linuxx8664gcc on Mar 10 2021, 14:20:04                 |
  | From tags/v6-22-08@v6-22-08                                      |
# of event =41068
totedep 7.66162 nhit= 38
# of display =1415
# of event =41069
totedep 3.22505 nhit= 16
# of display =1416
# of event =41090
totedep 17.548 nhit= 55
# of display =1417
# of event =41218
totedep 6.17356 nhit= 22
# of display =1418
# of event =41219
totedep 6.46511 nhit= 22
# of display =1419
# of event =41230
totedep 8.18287 nhit= 26
# of display =1420
# of event =41243
totedep 10.7406 nhit= 52
# of display =1421
# of event =41266
totedep 8.06272 nhit= 40
# of display =1422
# of event =41271
totedep 2.44948 nhit= 11
# of display =1423
# of event =41288
totedep 6.28173 nhit= 22
# of display =1424
# of event =41293
totedep 4.28584 nhit= 23
# of display =1425
# of event =41312
totedep 2.42473 nhit= 13
# of display =1426
# of event =41319
totedep 8.43047 nhit= 42
# of display =1427
# of event =41331
totedep 2.68585 nhit= 12
# of display =1428
# of event =41373
totedep 11.3108 nhit= 38
# of display =1429
# of event =41441
totedep 7.1342 nhit= 21
# of display =1430
# of event =41570
totedep 5.50711 nhit= 22
# of display =1431
# of event =41666
totedep 6.23772 nhit= 35
# of display =1432
# of event =41767
totedep 2.12892 nhit= 10
# of display =1433
# of event =41796
totedep 3.66743 nhit= 15
# of display =1434
# of event =41871
totedep 4.82622 nhit= 25
# of display =1435
# of event =41933
totedep 4.95894 nhit= 20
# of display =1436
# of event =41934
totedep 2.00498 nhit= 11
# of display =1437
# of event =41938
totedep 4.54208 nhit= 17
# of display =1438
# of event =41954
totedep 3.1597 nhit= 19
# of display =1439
# of event =41957
totedep 13.5582 nhit= 69
# of display =1440
# of event =41970
totedep 5.61082 nhit= 25
# of display =1441
# of event =41981
totedep 14.1206 nhit= 48
# of display =1442
# of event =41990
totedep 3.14638 nhit= 14
# of display =1443
# of event =42006
totedep 2.3778 nhit= 12
# of display =1444
# of event =42009
totedep 5.66675 nhit= 34
# of display =1445
# of event =42016
totedep 2.00237 nhit= 13
# of display =1446
# of event =42029
totedep 7.31004 nhit= 25
# of display =1447
# of event =42091
totedep 2.41614 nhit= 11
# of display =1448
# of event =42168
totedep 4.69049 nhit= 17
# of display =1449
# of event =42305
totedep 5.11517 nhit= 24
# of display =1450
# of event =42349
totedep 3.62953 nhit= 12
# of display =1451
# of event =42353
totedep 2.1048 nhit= 15
# of display =1452
# of event =42372
totedep 8.13175 nhit= 24
# of display =1453
# of event =42402
totedep 1.70242 nhit= 10
# of display =1454
# of event =42411
totedep 1.90623 nhit= 12
# of display =1455
# of event =42425
totedep 2.69153 nhit= 12
# of display =1456
# of event =42479
totedep 5.83787 nhit= 28
# of display =1457
# of event =42482
totedep 4.91745 nhit= 27
# of display =1458
# of event =42516
totedep 5.40496 nhit= 14
# of display =1459
# of event =42525
totedep 2.20719 nhit= 13
# of display =1460
# of event =42543
totedep 4.68234 nhit= 23
# of display =1461
# of event =42597
totedep 16.7623 nhit= 67
# of display =1462
# of event =42650
totedep 5.73599 nhit= 21
# of display =1463
# of event =42654
totedep 5.80858 nhit= 21
# of display =1464
# of event =42690
totedep 22.5375 nhit= 59
# of display =1465
# of event =42691
totedep 8.09558 nhit= 21
# of display =1466
# of event =42747
totedep 7.17616 nhit= 35
# of display =1467
# of event =42760
totedep 2.49807 nhit= 15
# of display =1468
# of event =42773
totedep 5.0844 nhit= 15
# of display =1469
# of event =42774
totedep 5.02054 nhit= 19
# of display =1470
# of event =42833
totedep 1.69012 nhit= 10
# of display =1471
# of event =42865
totedep 9.25924 nhit= 27
# of display =1472
# of event =42870
totedep 2.57384 nhit= 14
# of display =1473
# of event =42927
totedep 9.59483 nhit= 34
# of display =1474
# of event =42933
totedep 7.09546 nhit= 32
# of display =1475
# of event =42945
totedep 3.81356 nhit= 11
# of display =1476
# of event =43045
totedep 5.3775 nhit= 19
# of display =1477
# of event =43072
totedep 2.13418 nhit= 11
# of display =1478
# of event =43098
totedep 2.65065 nhit= 13
# of display =1479
# of event =43100
totedep 2.13855 nhit= 10
# of display =1480
# of event =43134
totedep 4.86949 nhit= 31
# of display =1481
# of event =43204
totedep 6.68417 nhit= 23
# of display =1482
# of event =43205
totedep 2.7264 nhit= 12
# of display =1483
# of event =43249
totedep 4.74466 nhit= 28
# of display =1484
# of event =43258
totedep 2.04153 nhit= 10
# of display =1485
# of event =43273
totedep 3.45502 nhit= 19
# of display =1486
# of event =43287
totedep 8.78652 nhit= 32
# of display =1487
# of event =43342
totedep 2.92489 nhit= 15
# of display =1488
# of event =43363
totedep 10.675 nhit= 39
# of display =1489
# of event =43406
totedep 11.3153 nhit= 57
# of display =1490
# of event =43410
totedep 4.15743 nhit= 28
# of display =1491
# of event =43513
totedep 3.41369 nhit= 18
# of display =1492
# of event =43529
totedep 3.61742 nhit= 22
# of display =1493
# of event =43541
totedep 4.41579 nhit= 19
# of display =1494
# of event =43561
totedep 4.19642 nhit= 15
# of display =1495
# of event =43599
totedep 2.91998 nhit= 14
# of display =1496
# of event =43619
totedep 5.52493 nhit= 20
# of display =1497
# of event =43628
totedep 3.55232 nhit= 18
# of display =1498
# of event =43632
totedep 1.85359 nhit= 14
# of display =1499
# of event =43645
totedep 8.53286 nhit= 52
# of display =1500
# of event =43714
totedep 5.56317 nhit= 20
# of display =1501
# of event =43718
totedep 9.36443 nhit= 36
# of display =1502
# of event =43734
totedep 3.76952 nhit= 19
# of display =1503
# of event =43777
totedep 1.65025 nhit= 12
# of display =1504
# of event =43803
totedep 3.1712 nhit= 17
# of display =1505
# of event =43813
totedep 7.83847 nhit= 26
# of display =1506
# of event =43817
totedep 4.83757 nhit= 17
# of display =1507
# of event =43862
totedep 2.91572 nhit= 11
# of display =1508
# of event =43878
totedep 1.91462 nhit= 12
# of display =1509
# of event =43881
totedep 1.34155 nhit= 10
# of display =1510
# of event =43910
totedep 4.73532 nhit= 26
# of display =1511
# of event =43913
totedep 4.98839 nhit= 21
# of display =1512
# of event =43920
totedep 2.74406 nhit= 13
# of display =1513
# of event =43921
totedep 14.5651 nhit= 54
# of display =1514
# of event =43964
totedep 2.39158 nhit= 11
# of display =1515
# of event =43996
totedep 3.79114 nhit= 21
# of display =1516
# of event =44074
totedep 11.2367 nhit= 45
# of display =1517
# of event =44116
totedep 6.4814 nhit= 29
# of display =1518
# of event =44117
totedep 7.81859 nhit= 27
# of display =1519
# of event =44153
totedep 6.38672 nhit= 24
# of display =1520
# of event =44223
totedep 3.66815 nhit= 18
# of display =1521
# of event =44228
totedep 4.89591 nhit= 16
# of display =1522
# of event =44232
totedep 3.06852 nhit= 18
# of display =1523
# of event =44269
totedep 7.17062 nhit= 30
# of display =1524
# of event =44281
totedep 17.4504 nhit= 47
# of display =1525
# of event =44286
totedep 5.31808 nhit= 22
# of display =1526
# of event =44288
totedep 3.8964 nhit= 14
# of display =1527
# of event =44299
totedep 6.91864 nhit= 27
# of display =1528
# of event =44324
totedep 4.04399 nhit= 18
# of display =1529
# of event =44370
totedep 2.49375 nhit= 13
# of display =1530
# of event =44396
totedep 1.64513 nhit= 10
# of display =1531
# of event =44401
totedep 12.853 nhit= 42
# of display =1532
# of event =44486
totedep 6.5846 nhit= 29
# of display =1533
# of event =44598
totedep 3.3719 nhit= 12
# of display =1534
# of event =44679
totedep 10.3508 nhit= 37
# of display =1535
# of event =44681
totedep 14.6413 nhit= 64
# of display =1536
# of event =44691
totedep 1.79096 nhit= 12
# of display =1537
# of event =44723
totedep 3.83223 nhit= 17
# of display =1538
# of event =44737
totedep 10.4471 nhit= 32
# of display =1539
# of event =44740
totedep 5.8918 nhit= 22
# of display =1540
# of event =44797
totedep 2.11836 nhit= 10
# of display =1541
# of event =44802
totedep 2.19865 nhit= 12
# of display =1542
# of event =44822
totedep 6.05108 nhit= 23
# of display =1543
# of event =44832
totedep 3.24746 nhit= 14
# of display =1544
# of event =44937
totedep 7.55046 nhit= 33
# of display =1545
# of event =44947
totedep 1.80972 nhit= 13
# of display =1546
# of event =44974
totedep 1.90389 nhit= 12
# of display =1547
# of event =44983
totedep 9.35853 nhit= 42
# of display =1548
# of event =45002
totedep 3.43993 nhit= 14
# of display =1549
# of event =45003
totedep 2.98862 nhit= 12
# of display =1550
# of event =45015
totedep 7.1657 nhit= 43
# of display =1551
# of event =45018
totedep 1.46794 nhit= 10
# of display =1552
# of event =45037
totedep 9.69036 nhit= 37
# of display =1553
# of event =45083
totedep 2.83156 nhit= 11
# of display =1554
# of event =45102
totedep 4.52444 nhit= 13
# of display =1555
# of event =45201
totedep 5.15471 nhit= 16
# of display =1556
# of event =45230
totedep 8.18043 nhit= 24
# of display =1557
# of event =45247
totedep 4.16644 nhit= 15
# of display =1558
# of event =45260
totedep 6.57636 nhit= 36
# of display =1559
# of event =45264
totedep 11.1364 nhit= 41
# of display =1560
# of event =45282
totedep 7.89663 nhit= 36
# of display =1561
# of event =45294
totedep 6.60999 nhit= 22
# of display =1562
# of event =45506
totedep 15.5204 nhit= 54
# of display =1563
# of event =45521
totedep 2.85337 nhit= 13
# of display =1564
# of event =45537
totedep 3.39073 nhit= 15
# of display =1565
# of event =45553
totedep 3.86777 nhit= 18
# of display =1566
# of event =45565
totedep 4.3074 nhit= 16
# of display =1567
# of event =45570
totedep 3.65453 nhit= 18
# of display =1568
# of event =45583
totedep 9.0336 nhit= 53
# of display =1569
# of event =45646
totedep 2.43434 nhit= 13
# of display =1570
# of event =45716
totedep 10.0453 nhit= 39
# of display =1571
# of event =45722
totedep 1.70307 nhit= 11
# of display =1572
# of event =45726
totedep 2.00838 nhit= 11
# of display =1573
# of event =45727
totedep 2.84192 nhit= 15
# of display =1574
# of event =45729
totedep 6.60026 nhit= 32
# of display =1575
# of event =45807
totedep 1.19036 nhit= 10
# of display =1576
# of event =45819
totedep 12.7662 nhit= 61
# of display =1577
# of event =45839
totedep 1.84435 nhit= 11
# of display =1578
# of event =45840
totedep 22.1208 nhit= 62
# of display =1579
# of event =45888
totedep 18.3246 nhit= 67
# of display =1580
# of event =45903
totedep 8.28279 nhit= 32
# of display =1581
# of event =45907
totedep 11.0454 nhit= 40
# of display =1582
# of event =45933
totedep 9.83247 nhit= 28
# of display =1583
# of event =45955
totedep 5.09352 nhit= 17
# of display =1584
# of event =45981
totedep 4.72612 nhit= 18
# of display =1585
# of event =45999
totedep 2.12764 nhit= 11
# of display =1586
# of event =46035
totedep 7.42649 nhit= 39
# of display =1587
# of event =46066
totedep 8.37746 nhit= 48
# of display =1588
# of event =46085
totedep 6.98173 nhit= 34
# of display =1589
# of event =46093
totedep 2.27119 nhit= 11
# of display =1590
# of event =46101
totedep 4.94232 nhit= 27
# of display =1591
# of event =46169
totedep 6.25665 nhit= 26
# of display =1592
# of event =46316
totedep 5.63415 nhit= 23
# of display =1593
# of event =46335
totedep 2.64646 nhit= 11
# of display =1594
# of event =46393
totedep 8.97564 nhit= 41
# of display =1595
# of event =46416
totedep 1.53141 nhit= 10
# of display =1596
# of event =46426
totedep 9.34659 nhit= 35
# of display =1597
# of event =46448
totedep 2.85939 nhit= 14
# of display =1598
# of event =46475
totedep 2.9767 nhit= 13
# of display =1599
# of event =46511
totedep 4.37248 nhit= 15
# of display =1600
# of event =46520
totedep 6.46378 nhit= 41
# of display =1601
# of event =46548
totedep 10.7928 nhit= 37
# of display =1602
# of event =46567
totedep 7.81823 nhit= 32
# of display =1603
# of event =46572
totedep 2.41213 nhit= 16
# of display =1604
# of event =46626
totedep 12.2593 nhit= 50
# of display =1605
# of event =46634
totedep 2.57338 nhit= 10
# of display =1606
# of event =46642
totedep 1.95074 nhit= 11
# of display =1607
# of event =46648
totedep 2.37955 nhit= 10
# of display =1608
# of event =46687
totedep 5.10273 nhit= 23
# of display =1609
# of event =46698
totedep 4.52241 nhit= 25
# of display =1610
# of event =46699
totedep 10.2271 nhit= 36
# of display =1611
# of event =46731
totedep 22.4772 nhit= 10
# of display =1612
# of event =46761
totedep 4.33132 nhit= 17
# of display =1613
# of event =46772
totedep 10.0746 nhit= 41
# of display =1614
# of event =46781
totedep 13.1919 nhit= 37
# of display =1615
# of event =46787
totedep 4.09356 nhit= 15
# of display =1616
# of event =46872
totedep 5.53924 nhit= 23
# of display =1617
# of event =46911
totedep 3.55982 nhit= 20
# of display =1618
# of event =46952
totedep 15.526 nhit= 50
# of display =1619
# of event =46966
totedep 11.4111 nhit= 35
# of display =1620
# of event =47033
totedep 2.59979 nhit= 14
# of display =1621
# of event =47069
totedep 6.57421 nhit= 19
# of display =1622
# of event =47071
totedep 5.32173 nhit= 18
# of display =1623
# of event =47125
totedep 2.36836 nhit= 15
# of display =1624
# of event =47187
totedep 2.53274 nhit= 13
# of display =1625
# of event =47215
totedep 14.3044 nhit= 41
# of display =1626
# of event =47246
totedep 5.30148 nhit= 19
# of display =1627
# of event =47280
totedep 2.97723 nhit= 18
# of display =1628
# of event =47401
totedep 1.85961 nhit= 10
# of display =1629
# of event =47402
totedep 5.83456 nhit= 21
# of display =1630
# of event =47422
totedep 6.99346 nhit= 24
# of display =1631
# of event =47509
totedep 3.16 nhit= 11
# of display =1632
# of event =47517
totedep 2.95295 nhit= 19
# of display =1633
# of event =47568
totedep 4.25601 nhit= 18
# of display =1634
# of event =47569
totedep 2.94747 nhit= 16
# of display =1635
# of event =47606
totedep 2.76425 nhit= 23
# of display =1636
# of event =47691
totedep 3.19504 nhit= 13
# of display =1637
# of event =47705
totedep 12.2696 nhit= 49
# of display =1638
# of event =47721
totedep 2.51358 nhit= 12
# of display =1639
# of event =47825
totedep 4.63123 nhit= 18
# of display =1640
# of event =47846
totedep 4.60203 nhit= 27
# of display =1641
# of event =47852
totedep 7.15527 nhit= 22
# of display =1642
# of event =47866
totedep 5.57195 nhit= 26
# of display =1643
# of event =47871
totedep 1.69848 nhit= 12
# of display =1644
# of event =47929
totedep 2.7159 nhit= 17
# of display =1645
# of event =47940
totedep 10.393 nhit= 44
# of display =1646
# of event =47956
totedep 6.6262 nhit= 22
# of display =1647
# of event =47984
totedep 7.04475 nhit= 31
# of display =1648
# of event =48006
totedep 4.81279 nhit= 29
# of display =1649
# of event =48066
totedep 2.96934 nhit= 12
# of display =1650
# of event =48075
totedep 2.77652 nhit= 12
# of display =1651
# of event =48148
totedep 3.64621 nhit= 16
# of display =1652
# of event =48193
totedep 8.70211 nhit= 24
# of display =1653
# of event =48196
totedep 13.2127 nhit= 44
# of display =1654
# of event =48209
totedep 2.79849 nhit= 13
# of display =1655
# of event =48254
totedep 8.19755 nhit= 26
# of display =1656
# of event =48320
totedep 4.82771 nhit= 15
# of display =1657
# of event =48338
totedep 1.55439 nhit= 10
# of display =1658
# of event =48352
totedep 1.61557 nhit= 12
# of display =1659
# of event =48408
totedep 3.06068 nhit= 12
# of display =1660
# of event =48461
totedep 2.71382 nhit= 16
# of display =1661
# of event =48483
totedep 5.0373 nhit= 13
# of display =1662
# of event =48484
totedep 2.76459 nhit= 15
# of display =1663
# of event =48539
totedep 7.01378 nhit= 33
# of display =1664
# of event =48564
totedep 8.94484 nhit= 33
# of display =1665
# of event =48588
totedep 2.82677 nhit= 12
# of display =1666
# of event =48630
totedep 5.45983 nhit= 19
# of display =1667
# of event =48634
totedep 7.48118 nhit= 25
# of display =1668
# of event =48650
totedep 6.94134 nhit= 29
# of display =1669
# of event =48687
totedep 2.46773 nhit= 15
# of display =1670
# of event =48750
totedep 11.1223 nhit= 55
# of display =1671
# of event =48798
totedep 9.55022 nhit= 50
# of display =1672
# of event =48814
totedep 4.49346 nhit= 20
# of display =1673
# of event =48845
totedep 5.31659 nhit= 25
# of display =1674
# of event =48849
totedep 8.74609 nhit= 35
# of display =1675
# of event =48851
totedep 4.2508 nhit= 16
# of display =1676
# of event =48887
totedep 14.8331 nhit= 68
# of display =1677
# of event =48923
totedep 8.97959 nhit= 48
# of display =1678
# of event =48926
totedep 2.49254 nhit= 11
# of display =1679
# of event =48930
totedep 2.72513 nhit= 17
# of display =1680
# of event =48946
totedep 3.20638 nhit= 13
# of display =1681
# of event =48951
totedep 3.50033 nhit= 15
# of display =1682
# of event =49029
totedep 4.7009 nhit= 17
# of display =1683
# of event =49039
totedep 2.60197 nhit= 15
# of display =1684
# of event =49100
totedep 5.70408 nhit= 20
# of display =1685
# of event =49105
totedep 6.51364 nhit= 22
# of display =1686
# of event =49121
totedep 2.37827 nhit= 11
# of display =1687
# of event =49125
totedep 4.57413 nhit= 21
# of display =1688
# of event =49186
totedep 6.90317 nhit= 37
# of display =1689
# of event =49189
totedep 1.79654 nhit= 10
# of display =1690
# of event =49195
totedep 4.4292 nhit= 21
# of display =1691
# of event =49224
totedep 7.74865 nhit= 24
# of display =1692
# of event =49230
totedep 5.90383 nhit= 31
# of display =1693
# of event =49253
totedep 7.60384 nhit= 32
# of display =1694
# of event =49365
totedep 13.625 nhit= 56
# of display =1695
# of event =49389
totedep 17.8355 nhit= 55
# of display =1696
# of event =49390
totedep 8.86919 nhit= 28
# of display =1697
# of event =49393
totedep 3.73385 nhit= 20
# of display =1698
# of event =49414
totedep 2.25749 nhit= 10
# of display =1699
# of event =49526
totedep 1.84894 nhit= 10
# of display =1700
# of event =49549
totedep 11.9366 nhit= 43
# of display =1701
# of event =49596
totedep 1.5686 nhit= 13
# of display =1702
# of event =49629
totedep 6.71662 nhit= 34
# of display =1703
# of event =49654
totedep 5.20151 nhit= 15
# of display =1704
# of event =49692
totedep 4.55412 nhit= 26
# of display =1705
# of event =49710
totedep 17.6287 nhit= 52
# of display =1706
# of event =49729
totedep 10.7238 nhit= 29
# of display =1707
# of event =49732
totedep 2.61082 nhit= 14
# of display =1708
# of event =49734
totedep 3.69027 nhit= 14
# of display =1709
# of event =49746
totedep 3.32736 nhit= 15
# of display =1710
# of event =49776
totedep 3.30979 nhit= 14
# of display =1711
# of event =49779
totedep 3.04711 nhit= 11
# of display =1712
# of event =49818
totedep 1.9868 nhit= 10
# of display =1713
# of event =49855
totedep 2.79372 nhit= 11
# of display =1714
# of event =49868
totedep 16.907 nhit= 60
# of display =1715
# of event =49872
totedep 12.4407 nhit= 41
# of display =1716
# of event =49892
totedep 7.43075 nhit= 40
# of display =1717
# of event =49907
totedep 2.71304 nhit= 12
# of display =1718
# of event =49970
